$home=0.2938409
Borussia Mönchengladbach,0.013432336534,0.0410313960619
Hamburger SV,-0.293940889548,-0.392879294781
Bayern Munich,0.669756341097,0.590965143893
FC Augsburg,-0.0926661646824,-0.136360096235
Bayer Leverkusen,0.210152617195,0.00226767270178
Darmstadt 98,-0.239311610199,-0.2948895808
Hannover 96,-0.0660431171961,-0.462013271056
Borussia Dortmund,0.360707801165,-0.11043183829
Hertha BSC,-0.196687086178,-0.271044905035
VfB Stuttgart,-0.0263853367315,-0.647861976691
Ingolstadt 04,-0.278616600688,-0.297272581362
VfL Wolfsburg,0.403161950435,-0.0209586923624
Eintracht Frankfurt,0.358626349891,-0.486421171015
1. FC Köln,-0.135623316794,-0.145432854703
1899 Hoffenheim,0.0619194938097,-0.379089181528
Werder Bremen,0.158611002635,-0.576346511947
Schalke 04,0.00258860125653,-0.0860095647737
Mainz 05,0.0764285400322,-0.227673179909
