Málaga,Sevilla,0,0
Deportivo La Coruña,Real Sociedad,0,0
Espanyol,Getafe,1,0
Atlético Madrid,Las Palmas,1,0
Rayo Vallecano,Valencia,0,0
Athletic Bilbao,Barcelona,0,1
Sporting Gijón,Real Madrid,0,0
Levante,Celta Vigo,1,2
Real Betis,Villarreal,1,1
Granada,Eibar,1,3
Villarreal,Espanyol,3,1
Real Sociedad,Sporting Gijón,0,0
Barcelona,Málaga,1,0
Celta Vigo,Rayo Vallecano,3,0
Real Madrid,Real Betis,5,0
Eibar,Athletic Bilbao,2,0
Valencia,Deportivo La Coruña,1,1
Sevilla,Atlético Madrid,0,3
Las Palmas,Levante,0,0
Getafe,Granada,1,2
Levante,Sevilla,1,1
Espanyol,Real Madrid,0,6
Sporting Gijón,Valencia,0,1
Atlético Madrid,Barcelona,1,2
Real Betis,Real Sociedad,1,0
Granada,Villarreal,1,3
Athletic Bilbao,Getafe,3,1
Celta Vigo,Las Palmas,3,3
Málaga,Eibar,0,0
Rayo Vallecano,Deportivo La Coruña,1,3
Getafe,Málaga,1,0
Real Madrid,Granada,1,0
Valencia,Real Betis,0,0
Eibar,Atlético Madrid,0,2
Real Sociedad,Espanyol,2,3
Sevilla,Celta Vigo,1,2
Deportivo La Coruña,Sporting Gijón,2,3
Villarreal,Athletic Bilbao,3,1
Las Palmas,Rayo Vallecano,0,1
Barcelona,Levante,4,1
